IMO,MMSI,Name,Type,Build Year,Country,Call Sign,Length,Width,Gross Tonnage,Deadweight Tonnage,Efficiency
9168207,636020264,Maersk Palermo,Container Ship,1998,Liberia,D5YK2,210,32,31333,38250,23.14
9268708,228183600,Pont-Aven,Ro-Pax Ship,2004,France,FNPN,184,34,40859,4803,24.45
9244441,247087700,Iblea,Combination Carrier,2003,Italy,IBFK,176,30,23375,35676,8.58
9198977,230927000,Seagard,Ro-Ro Ship,1999,Finland,OJIW,154,24,10488,7226,15.33
7907659,210231000,Stena Vision,Ro-Pax Ship,1987,Cyprus,5BUE5,176,31,39191,4500,33.71
9053658,311907000,Regal Bay,Refrigerated Cargo Carrier,1993,Bahamas,C6UG6,150,23,10375,10520,25.2
9291963,304679000,Bbc Campana,General Cargo Ship,2004,Antigua Barbuda,V2BN7,138,21,9618,12837,13.4
9177569,636011289,Navigator Saturn,Gas Carrier,2000,Liberia,ELYC9,170,24,17840,23495,10.61
9014078,477857000,Saga Spray,General Cargo Ship,1994,Hong Kong,VRWW5,200,31,29381,47029,5.67
9194921,354294000,Cool Girl,Refrigerated Cargo Carrier,1999,Panama,3FOM6,143,22,8507,9566,27.39
9019054,210133000,Denia Ciutat Creativa,Ro-Pax Ship,1992,Cyprus,5BRU3,148,23,19308,5985,16.9
9192179,308322000,Silver Whisper,Passenger Ship,2001,Bahamas,C6FN7,186,26,28258,2980,
9112777,242127100,Tanger Express,Ro-Pax Ship,1996,Morocco,CNA4608,136,24,14221,4030,36.21
8204250,450562000,Nabolsi,Other Ship Types,1983,Lebanon,ODWG,156,24,18337,8555,13.19
7527306,671996000,Boi Branco,Other Ship Types,1976,Togo,5VFL7,138,18,9998,4728,40.94
9126742,271001057,Roza A,Container Ship,1997,Turkey,TCRB7,168,27,15120,19325,18.09
9107784,259371000,Nordnorge,Ro-Pax Ship,1997,Norway,3YGW,123,18,11384,1171,56.7
9210141,357281000,Msc Armonia,Passenger Ship,2001,Panama,H8EW,275,29,58625,6909,4.39
9242560,305886000,Amelie Borchard,Container Ship,2002,Antigua Barbuda,V2GC4,133,22,9981,11367,28
9297589,255805557,Alana,Container Ship,2004,Portugal,CQIH,149,22,11662,13711,23
9107772,259330000,Nordkapp,Ro-Pax Ship,1996,Norway,LASQ,124,20,11386,1104,55.64
7827213,229001000,Celestyal Crystal,Passenger Ship,1980,Malta,9HA2978,162,24,25611,1703,
8917613,219592000,Crown Seaways,Ro-Pax Ship,1994,Denmark,OXRA6,171,28,35498,2940,26.21
8903923,309027000,Silver Cloud,Passenger Ship,1994,Bahamas,C6MQ5,157,22,16927,1564,
9270488,636090886,Chemtrans Moon,Oil Tanker,2004,Liberia,A8HG6,228,32,40763,72365,6.1
7349039,247552000,Corsica Marina Seconda,Ro-Pax Ship,1974,Italy,IBBM,120,20,12035,2151,11.49
9239783,247094800,Costa Fortuna,Passenger Ship,2003,Italy,IBNY,272,35,102587,8200,23.22
9004504,354206000,Aria Vibe,General Cargo Ship,1992,Panama,3FUG2,113,18,6030,9597,14.02
9006253,227273000,Normandie,Ro-Pax Ship,1992,France,FNNO,161,26,27451,5229,30.94
8712518,247163900,Gnv Cristal,Ro-Pax Ship,1989,Italy,IBUB,161,30,33336,4100,40.62
8506311,247392600,Gnv Allegra,Ro-Pax Ship,1987,Italy,IBUI,166,28,31914,4606,30.9
8019344,258210000,Gann,Passenger Ship,1982,Norway,LLNV,108,16,6257,1836,
7633143,219173000,Povl Anker,Ro-Pax Ship,1978,Denmark,OYRA2,121,25,12358,1940,9.15
7361324,247185400,Moby Otta,Ro-Pax Ship,1976,Italy,ICBG,184,26,22528,3335,5.56
9205938,538006778,Federal Hunter,Bulk Carrier,2001,Marshall Is,V7RE7,200,24,20659,36563,6.92
9200445,538006784,Federal Rideau,Bulk Carrier,2000,Marshall Is,V7RG5,200,24,20659,36563,6.92
9205885,538006780,Federal Kivalina,Bulk Carrier,2000,Marshall Is,V7RF2,200,24,20659,36563,6.55
9244257,538006781,Federal Kumano,Bulk Carrier,2003,Marshall Is,V7RF4,200,24,20661,36489,6.65
8712520,247163100,Gnv Atlas,Ro-Pax Ship,1990,Italy,IBUH,162,29,33336,4100,41.61
9106297,249051000,Marella Explorer,Passenger Ship,1996,Malta,9HJH9,262,32,76998,6500,9.22
9109536,636016690,Ida,Bulk Carrier,1995,Liberia,A8XF2,148,22,11121,18172,9.88
9180384,212891000,Iryda,Bulk Carrier,1999,Cyprus,P3PA8,200,23,21387,34946,5.83
9241774,239924000,Blue Star Paros,Ro-Pax Ship,2002,Greece,SVJH,124,19,10438,1896,32.67
7814058,237032000,Kriti Ii,Ro-Pax Ship,1979,Greece,SZQW,192,30,27239,5339,33.1
9216183,239658000,Highspeed 4,Ro-Pax Ship,2000,Greece,SWJD,93,24,6274,470,26.63
7346221,237001000,Superstar,Ro-Pax Ship,1974,Greece,SWKV,122,19,4986,1029,44.89
7043843,239786000,Talos,Ro-Ro Ship,1971,Greece,STMMP,124,19,7171,2838,48.71
8976671,239981000,Aqua Jewel,Ro-Pax Ship,2002,Greece,SZLD,108,16,3934,461,64.9
8700723,275430000,Isabelle,Ro-Pax Ship,1989,Latvia,YLEZ,171,28,35154,3680,4.06
8919805,276807000,Silja Europa,Ro-Pax Ship,1993,Estonia,ESUJ,202,32,59912,4650,2.32
8306498,247356500,Mega Andrea,Ro-Pax Ship,1986,Italy,IBKW,170,28,34414,3720,3.84
9227053,255801490,Autosun,Vehicle Carrier,2000,Portugal,CQQB,140,23,21094,6670,29.4
9143441,247279000,Excellent,Ro-Pax Ship,1998,Italy,IBBE,202,28,39777,7300,23.81
9108556,370047000,Cenk G,Ro-Pax Ship,1995,Panama,3EBC,175,25,21664,11164,41.31
9210139,311622000,Seven Seas Mariner,Passenger Ship,2001,Bahamas,C6VV8,216,32,48075,4700,14.92
9258014,636019667,Nostos,Oil Tanker,2003,Liberia,D5VO7,182,32,28529,47147,5.6
8019368,258478000,Vesteralen,Ro-Pax Ship,1983,Norway,LLZY,109,17,6261,900,59.9
9271377,357044000,Trident Hope,Oil Tanker,2003,Panama,HOWJ,240,42,56365,105985,3.69
9230402,310384000,Island Princess,Passenger Ship,2003,Bermuda,ZCDG4,294,38,91627,8015,38.66
9250464,357627000,Msc Opera,Passenger Ship,2004,Panama,H3FV,275,32,59058,6561,4.35
9219331,311213000,The World,Passenger Ship,2002,Bahamas,C6RW4,196,30,43188,4558,
9277383,244198000,Tina,Container Ship,2003,Netherlands,PBKA,138,22,7519,8634,34.82
9263306,210684000,Bluebill,Bulk Carrier,2004,Marshall Is,V7A5944,200,24,22655,37332,6.49
8512152,209011000,Al Andalus Express,Ro-Pax Ship,1987,Cyprus,5BMH4,160,23,7264,4284,36.93
9232527,227022800,Cote Des Dunes,Ro-Pax Ship,2001,France,FOBQ,185,27,33796,5700,26.88
8208763,209678000,Poeta Lopez Anglada,Ro-Pax Ship,1984,Cyprus,5BHG5,134,23,15229,2430,30.8
9222302,636014644,Msc Petra,Container Ship,2001,Liberia,A8VP5,300,40,73157,80238,21.75
7901265,230180000,Rosella,Ro-Pax Ship,1980,Greece,SVCW2,136,24,16879,2300,19
8803769,265004000,Silja Symphony,Ro-Pax Ship,1991,Sweden,SCGB,203,32,58377,5340,2.95
9186649,241671000,Blue Carrier 1,Ro-Ro Ship,2000,Greece,SVCU5,143,23,13073,4650,19.55
9277371,219081000,Ternvag,Chemical Tanker,2003,Denmark,OWIP2,141,22,9993,14803,12.94
9169524,310556000,Aurora,Passenger Ship,2000,Bermuda,ZCDW9,272,32,76152,8486,14.29
9270842,228084000,Ville De Bordeaux,Ro-Ro Ship,2004,France,FZCE,154,30,21528,5200,57.22
9220627,247019600,Grande Ellade,Container/Ro-Ro Cargo Ship,2001,Italy,IBNK,182,33,52485,18885,13.28
9232644,636020902,Msc Nikoleta,Container Ship,2002,Liberia,5LBG9,185,25,16802,22968,16.66
9186209,257527000,Ikebana,General Cargo Ship,1999,Norway,LAJK8,199,31,33448,43867,7.1
8201648,357632000,Msc Eyra,Container Ship,1982,Panama,H3FW,203,26,21586,21370,23.83
9181168,311000834,Wild Lotus,Refrigerated Cargo Carrier,1998,Bahamas,C6DZ2,150,22,9860,10139,25.61
9166637,205453000,Melusine,Ro-Ro Ship,1999,Malta,9HA5777,162,25,23987,9729,13.02
8912376,253339000,Marin,Ro-Ro Ship,1991,Luxembourg,LXMV,114,18,5972,4750,35.42
9208629,311062900,Pride Of Hull,Ro-Pax Ship,2001,Bahamas,C6ZQ4,215,36,59925,8850,24.91
9208617,244980000,Pride Of Rotterdam,Ro-Pax Ship,2001,Netherlands,PBAJ,215,32,59925,10100,24.91
9145176,266331000,Stena Germanica,Ro-Pax Ship,2001,Sweden,SLDW,241,30,51837,10670,21
7528635,370176000,Cenk T,Ro-Pax Ship,1978,Panama,3EUM3,185,34,21162,8408,22.03
9278234,257182000,Color Fantasy,Ro-Pax Ship,2004,Norway,LMSD,225,36,75027,6133,22.44
8917601,230361000,Gabriella,Ro-Pax Ship,1992,Finland,OJHP,172,28,35492,2962,17
9281281,276519000,Victoria I,Ro-Pax Ship,2004,Estonia,ESRP,193,29,40975,4930,3.31
8719188,266027000,Viking Cinderella,Ro-Pax Ship,1989,Sweden,SEAI,191,29,46398,4228,18
9222558,376222000,Charbel,Bulk Carrier,2001,St Vincent Grenadines,J8B5943,172,27,17859,28290,5.83
9292943,256677000,X-Press Monte Cervino,Container Ship,2003,Panama,3E2365,133,20,6454,8505,39.08
9010163,266262000,Finnpartner,Ro-Pax Ship,1994,Sweden,SKIH,183,30,33313,11558,4.34
8715259,230184000,Silja Serenade,Ro-Pax Ship,1990,Finland,OJCS,203,32,58376,3779,2.87
8503797,247435800,Gnv Antares,Ro-Pax Ship,1987,Italy,IBDC,180,24,31598,6748,42.11
9181091,210780000,Isle Of Inisheer,Ro-Pax Ship,2000,Cyprus,5BYW5,180,25,22152,7396,23.14
7901760,235004539,Stena Europe,Ro-Pax Ship,1981,Cyprus,5BGE6,149,28,24828,2692,32.85
9088249,215938000,Pelagic Piranha,Vehicle Carrier,1997,Malta,9HA5384,180,32,44219,12490,19.55
9204685,538004497,Evoikos Theo,Bulk Carrier,2000,Panama,3E4752,225,32,38818,75681,3.9
7827225,210976000,Regina Baltica,Ro-Pax Ship,1980,Cyprus,P3FV4,145,25,18345,2830,32.1
7819113,354760000,Yosor,Other Ship Types,1981,Panama,3EXD9,123,20,12299,8594,28.56
9246530,304623000,Katherine Borchard,Container Ship,2004,Antigua Barbuda,V2BW7,135,23,9962,11376,28
8918978,355289000,Msc Suez,Container Ship,1993,Panama,HPMS,237,32,37071,47120,16.21
9113719,219028212,Alondra,Other Ship Types,1995,Denmark,OZJG2,97,16,2997,4550,30.72
9185396,672269000,Carthage,Ro-Pax Ship,1999,Tunisia,TSMT,180,28,31647,4100,5.22
9278911,314517000,Super Bayern,Bulk Carrier,2003,Barbados,8PAW6,178,28,21185,32662,7.13
9190157,255801580,Autoprestige,Vehicle Carrier,1999,Portugal,CQQG,129,19,11596,4311,26.49
8007793,308397000,H.A.Sklenar,Bulk Carrier,1981,Bahamas,C6CL6,247,32,45785,73609,5.32
9214991,209952000,Ulysses,Ro-Pax Ship,2001,Cyprus,C4HP2,204,36,50938,9665,22.78
9233258,258465000,Trollfjord,Ro-Pax Ship,2002,Norway,LLVT,136,22,16140,1186,55.16
9144093,259402000,Bastø Ii,Ro-Pax Ship,1997,Norway,LIPU,109,18,5505,1470,50.2
9272735,538002583,Bomar Quest,Chemical Tanker,2003,Marshall Is,V7JX5,118,19,5770,8501,16.8
9253234,538002071,Berenike,Oil Tanker,2003,Gabon,TRAQ9,182,27,23217,37261,7.8
9189677,314468000,Alanda Star,Bulk Carrier,1999,Barbados,8PAQ4,171,27,19743,31828,5.19
9193290,211327410,Tokyo Express,Container Ship,2000,Germany,DGTX,294,32,54465,67145,16.57
9200811,477904300,Oakland Express,Container Ship,2000,Panama,3E6015,294,32,54437,66781,11.51
9207584,239737000,Blue Star 2,Ro-Pax Ship,2000,Greece,SYSV,176,26,29560,5075,22.64
9227326,636016437,Msc Vidisha R.,Container Ship,2002,Liberia,A8IY4,281,32,45803,53462,27.76
9294408,255805664,Maersk Launceston,Container Ship,2005,Portugal,CQGO,266,38,50736,62994,18.6
9371878,266266000,Astral,Oil Tanker,2006,Sweden,SLHJ,130,20,7636,11317,12.81
9287704,210163000,Rs Lisa,Container Ship,2003,Portugal,CQ2054,138,21,7519,8645,34.62
9129263,230042000,Baltic Bright,Ro-Ro Ship,1996,Finland,OJTY,134,20,9708,6100,16
9237498,636093046,Hammonia Lipsia,Container Ship,2004,Liberia,5LCQ4,220,32,35881,42300,8.34
9244881,636016432,Msc Arushi R.,Container Ship,2002,Liberia,A8RL3,280,32,45803,53115,15.88
9297591,211141000,Bianca Rambow,Container Ship,2004,Germany,DIFT,134,23,9981,11286,26.85
9186429,255805606,Elisabeth Russ,Ro-Ro Ship,1999,Portugal,CQFE,153,20,10471,7296,16.27
9253210,247100300,Grande Buenos Aires,Container/Ro-Ro Cargo Ship,2004,Italy,IBNA,214,32,56738,26169,9.29
9197466,304010228,Paula,General Cargo Ship,2000,Antigua Barbuda,V2LK,152,22,8397,9361,26.84
9083043,211217360,Spica,Container Ship,1994,Estonia,ESRR,151,19,7550,8932,35.5
9264283,538001964,Cape Bacton,Chemical Tanker,2004,Panama,3E4081,176,31,25108,40293,6.65
9272230,477040800,Chipolbrok Sun,General Cargo Ship,2003,Hong Kong,VRZM4,199,27,24167,30396,13.12
9195133,212882000,Ems Highway,Vehicle Carrier,1999,Cyprus,P3NL8,100,20,9233,3414,42.46
9130949,215751000,Grande Africa,Container/Ro-Ro Cargo Ship,1998,Malta,9HA5268,214,32,56642,27965,8.11
9132492,312245000,Azara,Bulk Carrier,1997,Palau,T8A4064,142,22,10220,13898,14
8903935,308814000,Silver Wind,Passenger Ship,1995,Bahamas,C6FG2,162,22,17235,1790,
9279977,357405000,Msc Poh Lin,Container Ship,2004,Panama,H8FC,294,31,54774,66786,19.44
9247144,311513000,Seven Seas Voyager,Passenger Ship,2003,Bahamas,C6SW3,206,28,42363,5400,15.03
9249075,636018521,Kriti Diamond,Oil Tanker,2004,Panama,3E2314,281,48,84315,166739,3.4
9265885,636018287,Johnny Trader,Chemical Tanker,2004,Palau,T8A4163,183,32,30018,46195,6.4
9125267,271046574,Fericek,Chemical Tanker,1996,Turkey,TCA5362,126,19,6737,10106,16.35
9261401,215871000,Baltic Wind,Chemical Tanker,2003,Marshall Is,V7A6177,182,27,23235,37296,6.39
9255828,249084000,Scot Bayern,Chemical Tanker,2003,Malta,9HA4093,117,18,5145,8234,15.46
9275268,642167061,Anwaar Afriqya,Oil Tanker,2004,Libya,5AMU,171,27,22184,34648,5.88
7226952,230341000,Fjardvagen,Ro-Ro Ship,1972,Finland,OJHC,110,21,6040,2607,43
8700785,309242000,Wind Surf,Passenger Ship,1989,Bahamas,C6IO6,187,20,14745,1654,17.66
9242326,566915000,Mtm Manila,Chemical Tanker,2003,Panama,3E4947,183,32,29220,44999,6.29
9153214,374734000,Hai Gong You 309,Oil Tanker,1998,Liberia,D5ZX9,137,21,8930,12924,13
9235476,354986000,Summer 7,Chemical Tanker,2001,Panama,H9LO,153,25,15042,22780,10.2
7928811,210556000,Almariya,Ro-Pax Ship,1981,Cyprus,5BFT4,150,24,21473,2880,19.79
9253258,538002073,Baltic,Oil Tanker,2003,Marshall Is,V7GC9,182,27,23217,37237,7.8
9195200,311361000,Brilliance Of The Seas,Passenger Ship,2002,Bahamas,C6SJ5,294,33,90090,10759,23.39
9246152,257970000,Xanthia,Chemical Tanker,2003,Norway,LAUR5,147,22,10578,17031,13.28
9211511,226269000,A Nepita,Ro-Pax Ship,2002,France,FNKG,203,26,30551,6920,24.01
9244374,636019956,Kanazawa,Chemical Tanker,2001,Liberia,D5WY8,135,22,9900,17396,12.08
9125279,247758000,Normanna,Oil Tanker,1996,Liberia,5LKA7,127,19,6877,10044,15.36
9121998,231002000,Mykines,Vehicle Carrier,1996,Faroe Is,OZ2169,138,23,18979,6165,23.69
9169768,241610000,Ice Hawk,Oil Tanker,1999,Greece,SVDA3,146,23,10321,15441,11.37
9251652,211397660,Sealing,Oil Tanker,2003,Germany,DECO,178,28,21356,32428,8.13
9255488,211409100,Seahake,Oil Tanker,2003,Barbados,8PPO7,178,28,21329,32464,8.12
9298193,211135000,Seashark,Oil Tanker,2004,Germany,DEIG,178,28,21329,32302,8.16
7826867,219147000,Stena Gothica,Ro-Pax Ship,1982,Denmark,OYCF2,171,21,13294,4550,33.46
9267558,230956000,Kiisla,Oil Tanker,2004,Finland,OJKY,140,22,9910,14750,17.88
9156539,247359000,Sveva,Oil Tanker,1999,Italy,IBEU,136,23,11270,15200,11.33
9015735,247142000,Majestic,Ro-Pax Ship,1993,Italy,IBAM,188,28,32777,6875,30.54
9222522,247034200,Bithia,Ro-Pax Ship,2001,Italy,IBSU,214,26,36475,4600,12.84
9180360,212797000,Isolda,Bulk Carrier,1999,Cyprus,P3JE8,200,24,21387,34949,6.52
9221281,245417000,Oosterdam,Passenger Ship,2003,Netherlands,PBKH,285,32,82305,10965,32.37
9126223,230350000,Laura,General Cargo Ship,1996,Finland,OJHH,120,18,5239,6410,27.22
9213090,236586000,Transosprey,General Cargo Ship,2003,Gibraltar,ZDKB4,174,22,16037,20396,14
9160310,247351000,Ievoli Speed,Chemical Tanker,1998,Italy,IBCI,110,18,5136,8058,20.43
9212163,277569000,Sirena Seaways,Ro-Pax Ship,2003,Lithuania,LYBR,199,30,22382,5625,26.17
9191034,312548000,New Faith,Bulk Carrier,1998,Belize,V3ZS3,170,27,18036,29952,5.96
8818300,209867000,Gryf,Ro-Pax Ship,1990,Cyprus,5BKV5,158,24,18653,6934,17.28
9288057,246100000,Suomigracht,General Cargo Ship,2004,Netherlands,PHBT,185,26,18321,23660,13.85
9138393,247305000,Grande Mediterraneo,Container/Ro-Ro Cargo Ship,1998,Italy,IBFF,183,32,51714,18427,10.23
9248538,235505000,Hartland Point,Ro-Ro Ship,2002,United Kingdom,ZIQS6,193,26,23235,13274,12.73
9179725,566184000,Manon,Vehicle Carrier,1999,Norway,LATJ8,228,32,67264,28360,14.6
9146819,511826000,Venus J,Bulk Carrier,1996,Palau,T8A2952,185,23,17997,30838,7.55
9087374,265412000,Sca Ortviken,Ro-Ro Ship,1996,Sweden,SECN,170,24,20154,11521,12.09
9168221,565221000,Maersk Patras,Container Ship,1998,Singapore,9V3818,210,32,31333,37842,21.55
9211482,538009143,W Klaipeda,Container Ship,2001,Marshall Is,V7A4374,300,43,80654,88700,18.18
9181560,338657000,Green Cove,Vehicle Carrier,1999,Usa,WDG5660,200,32,57566,22747,13.55
9267716,244590000,Balticborg,Ro-Ro Ship,2004,Netherlands,PBIP,154,22,12460,8600,24.28
9158458,215776000,Ekaterina,Bulk Carrier,2000,Malta,9HAH8,161,27,16418,27321,5
9231092,538090070,Red Cedar,General Cargo Ship,2001,Marshall Is,V7EH4,193,28,23132,30538,12.61
9149328,636016805,Msc Nadriely,Container Ship,1998,Liberia,D5HX2,208,30,25608,33977,18.6
9010929,210056000,Zircone,Oil Tanker,1993,Cyprus,5BPE5,124,17,5045,8000,20.45
9125372,249444000,Celestine,Ro-Ro Ship,1996,Malta,9HA4248,162,25,23986,9677,14.35
9059602,308511000,Albemarle Island,Refrigerated Cargo Carrier,1993,Bahamas,C6LU3,180,26,14061,14160,25.74
9290177,255805553,Vera D,Container Ship,2004,Portugal,CQID,179,27,17188,22513,25.34
9234070,235507000,Eddystone,Ro-Ro Ship,2002,United Kingdom,ZIQT3,193,26,23235,13274,11.02
9253208,247091500,Grande San Paolo,Container/Ro-Ro Cargo Ship,2003,Italy,IBNO,214,32,56738,26169,9.28
9176060,210052000,Skane Jet,Ro-Pax Ship,1998,Cyprus,5BPF5,91,26,5619,500,13.53
9176046,240139500,Superexpress,Ro-Pax Ship,1998,Greece,SVCT8,91,26,5902,450,7.79
9295567,312166000,Queen Judi,Bulk Carrier,2004,Belize,V3FR3,177,28,19885,32621,6.35
9260158,667001703,Prince Amin,Bulk Carrier,2003,Sierra Leone,9LU2506,179,28,22072,34699,2
9114244,538009779,Bow Cardinal,Chemical Tanker,1997,Marshall Is,V7A5151,183,32,23196,37446,5.47
9149897,538090029,Carla-Liv,Container Ship,1999,Marshall Is,V7A7230,184,25,16177,23026,27.75
9018658,636010032,Sol Do Brasil,Refrigerated Cargo Carrier,1994,Liberia,ELQQ4,172,26,15218,19653,14.99
9200421,477398000,Saga Jandaia,General Cargo Ship,1998,Hong Kong,VRYO9,199,31,29729,47027,5.71
9050814,227235000,Marion Dufresne,Other Ship Types,1995,France,FNIN,120,20,9403,4900,42.12
9237644,224239000,Ciudad De Ceuta,Ro-Pax Ship,2003,Spain,ECCX,97,26,6554,758,65.76
9109964,373306000,Gozo,Bulk Carrier,1994,Panama,3FJJ3,169,28,16712,28429,6.02
9125217,667001697,Prince Hadi,General Cargo Ship,1997,Sierra Leone,9LU2500,168,26,16041,26412,7.84
9273246,636018295,Butterfly,Chemical Tanker,2004,Liberia,D5PB7,183,32,30032,46048,7.32
9205718,577465000,Tango Rio,General Cargo Ship,2000,Barbados,8PMO4,128,16,5968,9231,19.06
9008598,311085000,Star Legend,Passenger Ship,1992,Bahamas,C6FR6,159,20,9961,790,
9085558,636018800,Maersk Karlskrona,Container Ship,1996,Liberia,D5RL4,318,43,81488,84900,12.06
9169782,275484000,Onyx,Oil Tanker,1999,Latvia,YLOP,146,23,10321,15441,16.14
9286827,258894000,Eken,Oil Tanker,2004,Norway,LAYM5,135,21,8829,13702,15.4
9261114,236202000,Stenheim,Oil Tanker,2003,Gibraltar,ZDFR8,144,23,11935,16614,14.48
9164811,636019618,Puffin S,General Cargo Ship,1999,Liberia,D5VI4,158,23,14118,20738,6.26
9017628,511100399,Rider,General Cargo Ship,1992,Palau,T8A3538,113,19,5988,9742,15.38
9086590,247178700,Mega Express Four,Ro-Pax Ship,1995,Italy,ICAI,174,24,25710,4855,5.66
9060649,351607000,Msc Monica,Container Ship,1993,Panama,3FSU7,242,32,37398,43618,17.69
9245055,567269000,Rattana Naree,Bulk Carrier,2002,Thailand,HSDS2,170,27,17431,28442,7.05
9213741,245930000,Vancouverborg,General Cargo Ship,2001,Netherlands,PBCF,132,16,6361,9850,15.54
9102069,319489000,Stolt Innovation,Chemical Tanker,1996,Cayman Is,ZCSP7,177,31,24846,36876,
